,est,naics,Zip,Borough,Neighborhood,Median Income,WhitePop,AfrAmPop,AsianPop,NativeAmPacificPop,OtherPop,MultiRacePop,LatPop,AlaskanAmerIndPop,TotalPop,Lat,Lng
276,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
277,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
278,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
279,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
280,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
281,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
282,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
283,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
424,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
425,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
426,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
427,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
428,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
429,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
430,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
431,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
432,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
433,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
434,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
435,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
436,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
437,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
438,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
439,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
440,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
441,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
442,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
443,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
444,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
445,22,713940,10036,Manhattan,Chelsea and Clinton,93707.0,14393,1851,4941, -   ,25,347,5271,40,26868,40.75918,-73.9884
410,2,713940,10029,Manhattan,East Harlem,34015.0,12508,20483,7600,100,645,903,38610,17,80866,40.79204,-73.94433000000001
411,2,713940,10029,Manhattan,East Harlem,34015.0,12508,20483,7600,100,645,903,38610,17,80866,40.79204,-73.94433000000001
422,2,713940,10035,Manhattan,East Harlem,27932.0,3645,12486,1646,37,116,695,16706,35,35366,40.801359999999995,-73.93806
423,2,713940,10035,Manhattan,East Harlem,27932.0,3645,12486,1646,37,116,695,16706,35,35366,40.801359999999995,-73.93806
659,1,713940,11207,Brooklyn,East New York and New Lots,35809.0,3336,55677,1495,82,894,959,29972,165,92580,40.67151,-73.89541
644,1,713940,11203,Brooklyn,Flatbush,48140.0,2818,65818,1309, -   ,150,1120,4699,75,75989,40.65205,-73.93485
667,3,713940,11210,Brooklyn,Flatbush,62202.0,19423,39568,2987, -   ,487,1098,5388,37,68988,40.63041,-73.94665
668,3,713940,11210,Brooklyn,Flatbush,62202.0,19423,39568,2987, -   ,487,1098,5388,37,68988,40.63041,-73.94665
669,3,713940,11210,Brooklyn,Flatbush,62202.0,19423,39568,2987, -   ,487,1098,5388,37,68988,40.63041,-73.94665
740,1,713940,11225,Brooklyn,Flatbush,51926.0,13661,37407,1551,65,498,1073,5196,46,59497,40.6632,-73.95423000000001
741,5,713940,11226,Brooklyn,Flatbush,48495.0,11327,66980,3423, -   ,393,2198,18225,39,102585,40.64727,-73.9571
742,5,713940,11226,Brooklyn,Flatbush,48495.0,11327,66980,3423, -   ,393,2198,18225,39,102585,40.64727,-73.9571
743,5,713940,11226,Brooklyn,Flatbush,48495.0,11327,66980,3423, -   ,393,2198,18225,39,102585,40.64727,-73.9571
744,5,713940,11226,Brooklyn,Flatbush,48495.0,11327,66980,3423, -   ,393,2198,18225,39,102585,40.64727,-73.9571
745,5,713940,11226,Brooklyn,Flatbush,48495.0,11327,66980,3423, -   ,393,2198,18225,39,102585,40.64727,-73.9571
